,mean,std
Med15_900_1080,0.5968494340600928,8.719592884133514
Med15_ABD1_ABD2_QN_G,0.7583381869985729,10.56452445281993
Med15_dABD2,0.7438623578316903,10.41814531745914
Med15_DBD_END_QN_G,0.7525653643241484,11.204817259914604
Med15_dKIX,0.6890373031798769,2.127831684043753
Med15_ABD2_ABD3_QN_G,0.7194616897951623,11.633483974484895
Med15_N300,0.7163973503961923,6.080907989653329
Med15_dABD3,0.7334350145318604,8.47689199739138
Med15_C900,0.6992707615681323,2.0584003501009
Med15_dAIS1,0.7446896097732995,11.612855731567732
Med15_KIX_ABD1_QN_G,0.7294909588649585,8.985556703615135
Med15_C100,0.7327145827471594,10.63240897304662
Med15_ABD1_ABD2_LIVFWY_N,0.7602288843943792,10.922238071781338
Med15_C700,0.6825878218066335,1.5607964930441924
Med15_DBD_END_Q_N,0.7433931761930855,10.10254405257189
Med15_500_700,0.7247983466789348,6.497420395614755
Med15_Mnase_d12,0.6654347861055352,5.728140057875441
Med15_C300,0.5622859562025001,8.128970484252562
Med15_C400,0.5837996348478153,8.108603371130249
Med15_N800,0.7007990567886531,1.541374324257629
Med15_N900,0.6827903196736841,2.6355110956228858
Med15_100_300,0.6830135558693735,2.4880736814628084
Med15_dABD1,0.720352434324368,9.257934725350724
Med15_N400,0.7054269838702585,4.803053891727683
Med15_DBD_END_LIVFWY_N,0.6386618586721251,8.511932914438516
Med15_ABD3_DBD_LIVFWY_N,0.7140044376717939,12.775843650784486
Med15_ABD2_ABD3_LIVFWY_A,0.7225929021517254,10.528515079987768
Med15_KIX_ABD1_Q_N,0.7351896335760375,10.159727818466664
Med15_C800,0.6924290898766187,2.2244814509190327
Med15_N500,0.7074081877890781,5.632653480168371
Med15_ABD2_ABD3_Q_N,0.719034296676167,7.3869282292782845
Med15_C200,0.5718479800945685,8.003473467450926
Med15_KIX_ABD1_LIVFWY_N,0.7426588965100597,10.77893300945341
Med15_ABD3_DBD_QN_G,0.736443121567667,9.409235128475197
Med15_ABD3_DBD_Q_N,0.734387799135139,12.822583167494543
Med15_200_400,0.729199960232239,6.825130010672246
Med15_N200,0.6897656834061003,4.119022237832239
Med15_WT_Mnase,0.7317483869316024,8.09146826158535
Med15_700_900,0.5529177008314777,9.488218758118181
Med15_C600,0.6429680828262854,5.332484222121079
Med15_800_1000,0.5908815467818281,8.425973424624226
Med15_ABD1_ABD2_Q_N,0.7603157423778667,10.673130887731846
Med15_dAIS2,0.6827899277990968,4.673254090567127
Med15_N600,0.6955207404659519,1.7343419006285798
Med15_400_600,0.7269935424486157,6.940206812056839
Med15_N100,0.7199224480304838,7.564154455539914
Med15_dDBD,0.6064295741236295,6.3538927424172265
Med15_N700,0.692652202526376,2.4697608314694337
Med15_Msn2DBD_LIVFWY_Shift_DBD_END,0.7557816791078135,10.276484197447333
Med15_Msn2DBD_Med2_Mnase,0.5969154412632715,8.656962277812982
Med15_WT,0.7226944655630961,7.3232030104352495
Med15_Mnase_LIVFWY_Scramble2_DBD_END,0.6283580606590536,20.11987080222694
Med15_Mnase_LIVFWY_Shift_DBD_END,0.5676561585310984,8.085022432441894
Med15_Msn2DBD_LIVFWY_Scramble1_DBD_END,0.6957714443063108,9.617004051058867
d12_Med2_Mnase,0.711434173537372,7.469571264923297
Med15_Mnase_LIVFWY_Scramble1_DBD_END,0.7099566314068299,13.709362158256019
Med2_Mnase,0.6121906783671295,6.060379597993403
Med15_Msn2DBD_LIVFWY_Scramble2_DBD_END,0.7448315271191628,9.776132120299787
Med15_Msn2DBD_DBD_END_LIVFWY_N,0.6514226445157115,20.239501521308124
d12_Med3_Mnase_FusionMed15,0.6891738587854389,9.210258524171254
Med3_Mnase,0.7366314553914785,19.797266942820578
d12_Med3_Mnase,0.6595560090117402,8.251306689473964
Med15_C200_dABD3,0.6299878069951127,6.1884418300934945
Fusion_C200_IDR_col2,0.6869379833738243,1.795177699930805
Med15_C200_dABD2_ABD3,0.6526913848225501,4.353564513774365
Fusion_LIVFWY_N_IDR4,0.6748567519867712,11.069394991086273
Fusion_dABD2_dABD3,0.743492313648764,6.890652333300255
WT_C200_IDR,0.6233694155246383,5.360079872727744
Fusion_C200_dABD2_ABD3,0.7087650755438444,7.293607065489271
Fusion_C200_IDR,0.6872800362054359,1.6974739666059293
Fusion_dABD1_dABD2_dABD3,0.7377058373679549,9.961844525824805
Fusion_C200_dABD1_dABD2_ABD3_r2,0.6800177569400074,2.0686495201262534
Fusion_C200_dABD3,0.6935918947828074,6.926850112120601
Fusion_LIVFWY_N_IDR3+4_r2,0.7446116037715995,14.203258181179361
Med15_Fusion_dMed2,0.6676708226692893,7.579201166456504
Med15_WT_dMed2,0.6690684199056842,4.502412077533825
WT_C200_IDR_col2,0.5856630787380374,7.881453979728985
Med15_dABD2_dABD3,0.7005569904588477,5.147389955490253
Med15_dMed2,0.6780540777232349,1.94123607976255
Med15_Mnase_WT,0.7477604467498044,11.050700105182406
Med15_dMed3,0.6602564258195457,2.227168782919627
med5_dmed15,0.719250186923087,2.7853190689884704
med4_mnase,0.7538855340995867,2.778819363341811
med7_dmed15,0.7199937646133877,2.49066220910221
med13_dmed15,0.6788423793573818,2.3480960896957295
Med4_Mnase_d12,0.7601116091602229,4.725627756217188
med4_dmed15,0.7654405068764193,3.246162839150354
med15_mnase,0.7602420680317167,10.391987167389914
med5_mnase,0.7430732796673208,4.952468790197296
Med5_Mnase_d12,0.710928736495681,4.332748707315815
Med17_Mnase_d12,0.7345207344493652,6.658433849105386
